longitude,latitude,depth,temperature,salinity
-3.6287,36.2992,133,13.5871,38.0442
-3.6287,36.2992,134,13.5838,38.0477
-3.6287,36.2992,135,13.5802,38.0522
-3.6287,36.2992,136,13.5743,38.0584
-3.6287,36.2992,136.9,13.5644,38.0685
-3.6287,36.2992,137.9,13.5613,38.0716
-3.6287,36.2992,138.9,13.5498,38.0824
-3.6287,36.2992,139.9,13.5374,38.0943
-3.6287,36.2992,140.9,13.5333,38.0991
-3.6287,36.2992,141.9,13.5053,38.1267
-3.6287,36.2992,142.9,13.4796,38.1524
-3.6287,36.2992,143.9,13.4314,38.2023
-3.6287,36.2992,144.9,13.4199,38.2124
-3.6287,36.2992,145.9,13.4038,38.2275
-3.6287,36.2992,146.9,13.3974,38.2332
-3.6287,36.2992,147.9,13.4007,38.231
-3.6287,36.2992,148.8,13.3852,38.2446
-3.6287,36.2992,149.8,13.3749,38.253
-3.6287,36.2992,150.8,13.3817,38.2475
-3.6287,36.2992,151.8,13.3717,38.2546
-3.6287,36.2992,152.8,13.3468,38.2724
-3.6287,36.2992,153.8,13.3525,38.2671
-3.6287,36.2992,154.8,13.335,38.2778
-3.6287,36.2992,155.8,13.3229,38.2928
-3.6287,36.2992,156.8,13.3176,38.2977
-3.6287,36.2992,157.8,13.301,38.3095
-3.6287,36.2992,158.8,13.2906,38.3156
-3.6287,36.2992,159.8,13.285,38.3196
-3.6287,36.2992,160.7,13.2839,38.3206
-3.6287,36.2992,161.7,13.2821,38.3223
-3.6287,36.2992,162.7,13.2813,38.3236
-3.6287,36.2992,163.7,13.283,38.3226
-3.6287,36.2992,164.7,13.2818,38.3231
-3.6287,36.2992,165.7,13.2816,38.3236
-3.6287,36.2992,166.7,13.2831,38.3232
-3.6287,36.2992,167.7,13.2802,38.3256
-3.6287,36.2992,168.7,13.2807,38.3254
-3.6287,36.2992,169.7,13.2805,38.3261
-3.6287,36.2992,170.7,13.2777,38.3293
-3.6287,36.2992,171.7,13.2779,38.3301
-3.6287,36.2992,172.7,13.2744,38.3351
-3.6287,36.2992,173.6,13.2743,38.3355
-3.6287,36.2992,174.6,13.2744,38.3357
-3.6287,36.2992,175.6,13.2715,38.3396
-3.6287,36.2992,176.6,13.2724,38.3386
-3.6287,36.2992,177.6,13.2701,38.3415
-3.6287,36.2992,178.6,13.2703,38.3415
-3.6287,36.2992,179.6,13.2674,38.3454
-3.6287,36.2992,180.6,13.2648,38.3495
-3.6287,36.2992,181.6,13.2666,38.3478
-3.6287,36.2992,182.6,13.2654,38.3498
-3.6287,36.2992,183.6,13.2638,38.3521
-3.6287,36.2992,184.6,13.2652,38.3507
-3.6287,36.2992,185.5,13.2625,38.3546
-3.6287,36.2992,186.5,13.2601,38.3588
-3.6287,36.2992,187.5,13.258,38.3633
-3.6287,36.2992,188.5,13.2584,38.3626
-3.6287,36.2992,189.5,13.2544,38.3695
-3.6287,36.2992,190.5,13.2573,38.3657
-3.6287,36.2992,191.5,13.2541,38.372
-3.6287,36.2992,192.5,13.251,38.3783
-3.6287,36.2992,193.5,13.2545,38.3724
-3.6287,36.2992,194.5,13.2516,38.3786
-3.6287,36.2992,195.5,13.25,38.3824
-3.6287,36.2992,196.5,13.2532,38.3766
-3.6287,36.2992,197.4,13.2506,38.3825
-3.6287,36.2992,198.4,13.2496,38.3844
-3.6287,36.2992,199.4,13.2522,38.3811
-3.6287,36.2992,200.4,13.2489,38.3884
-3.6287,36.2992,201.4,13.2486,38.3891
-3.6287,36.2992,202.4,13.2512,38.3848
-3.6287,36.2992,203.4,13.2485,38.3905
-3.6287,36.2992,204.4,13.2487,38.3905
-3.6287,36.2992,205.4,13.2505,38.3877
-3.6287,36.2992,206.4,13.2485,38.3919
-3.6287,36.2992,207.4,13.2493,38.3908
-3.6287,36.2992,208.4,13.2492,38.3918
-3.6287,36.2992,209.3,13.2485,38.394
-3.6287,36.2992,210.3,13.249,38.3941
-3.6287,36.2992,211.3,13.2486,38.3975
-3.6287,36.2992,212.3,13.2477,38.402
-3.6287,36.2992,213.3,13.2483,38.3997
-3.6287,36.2992,214.3,13.2487,38.4017
-3.6287,36.2992,215.3,13.2469,38.4093
-3.6287,36.2992,216.3,13.2472,38.4088
-3.6287,36.2992,217.3,13.2486,38.4052
-3.6287,36.2992,218.3,13.2475,38.4109
-3.6287,36.2992,219.3,13.2484,38.4083
-3.6287,36.2992,220.3,13.2478,38.4125
-3.6287,36.2992,221.2,13.2465,38.4186
-3.6287,36.2992,222.2,13.2477,38.4144
-3.6287,36.2992,223.2,13.2471,38.4181
-3.6287,36.2992,224.2,13.2462,38.4215
-3.6287,36.2992,225.2,13.2471,38.4192
-3.6287,36.2992,226.2,13.2463,38.4222
-3.6287,36.2992,227.2,13.2473,38.4196
-3.6287,36.2992,228.2,13.247,38.4214
-3.6287,36.2992,229.2,13.2463,38.4233
-3.6287,36.2992,230.2,13.2464,38.4238
-3.6287,36.2992,231.2,13.2464,38.4243
-3.6287,36.2992,232.2,13.2463,38.4253
-3.6287,36.2992,233.1,13.2463,38.426
-3.6287,36.2992,234.1,13.2466,38.4267
-3.6287,36.2992,235.1,13.2463,38.4285
-3.6287,36.2992,236.1,13.2458,38.4301
-3.6287,36.2992,237.1,13.2466,38.4286
-3.6287,36.2992,238.1,13.246,38.4326
-3.6287,36.2992,239.1,13.2455,38.436
-3.6287,36.2992,240.1,13.2469,38.4324
-3.6287,36.2992,241.1,13.2459,38.4399
-3.6287,36.2992,242.1,13.2462,38.4411
-3.6287,36.2992,243.1,13.2464,38.442
-3.6287,36.2992,244.1,13.2463,38.4438
-3.6287,36.2992,245,13.2456,38.4469
-3.6287,36.2992,246,13.246,38.446
-3.6287,36.2992,247,13.2459,38.4476
-3.6287,36.2992,248,13.2453,38.4486
-3.6287,36.2992,249,13.2456,38.4482
-3.6287,36.2992,250,13.2452,38.4489
-3.6287,36.2992,251,13.2453,38.449
-3.6287,36.2992,252,13.245,38.4493
-3.6287,36.2992,253,13.2449,38.4503
-3.6287,36.2992,254,13.2449,38.4513
-3.6287,36.2992,255,13.2448,38.452
-3.6287,36.2992,255.9,13.2451,38.4524
-3.6287,36.2992,256.9,13.2447,38.4538
-3.6287,36.2992,257.9,13.2452,38.4539
-3.6287,36.2992,258.9,13.245,38.4548
-3.6287,36.2992,259.9,13.2448,38.456
-3.6287,36.2992,260.9,13.2444,38.4584
-3.6287,36.2992,261.9,13.2442,38.4593
-3.6287,36.2992,262.9,13.2451,38.4574
-3.6287,36.2992,263.9,13.2444,38.46
-3.6287,36.2992,264.9,13.2446,38.4601
-3.6287,36.2992,265.9,13.2449,38.4598
-3.6287,36.2992,266.9,13.2449,38.46
-3.6287,36.2992,267.8,13.2454,38.46
-3.6287,36.2992,268.8,13.2454,38.46
-3.6287,36.2992,269.8,13.2458,38.4597
-3.6287,36.2992,270.8,13.246,38.4597
-3.6287,36.2992,271.8,13.2457,38.4602
-3.6287,36.2992,272.8,13.2461,38.4601
-3.6287,36.2992,273.8,13.2464,38.4601
-3.6287,36.2992,274.8,13.2463,38.4606
-3.6287,36.2992,275.8,13.2464,38.4607
-3.6287,36.2992,276.8,13.2464,38.4606
-3.6287,36.2992,277.8,13.2466,38.4614
-3.6287,36.2992,278.7,13.2468,38.4611
-3.6287,36.2992,279.7,13.2467,38.4618
-3.6287,36.2992,280.7,13.2467,38.4634
-3.6287,36.2992,281.7,13.2467,38.4645
-3.6287,36.2992,282.7,13.2468,38.4637
-3.6287,36.2992,283.7,13.2469,38.4633
-3.6287,36.2992,284.7,13.2464,38.4655
-3.6287,36.2992,285.7,13.2466,38.4654
-3.6287,36.2992,286.7,13.2462,38.4661
-3.6287,36.2992,287.7,13.2459,38.4668
-3.6287,36.2992,288.7,13.2458,38.467
-3.6287,36.2992,289.7,13.2453,38.468
-3.6287,36.2992,290.6,13.2453,38.4683
-3.6287,36.2992,291.6,13.2453,38.4684
-3.6287,36.2992,292.6,13.2453,38.4686
-3.6287,36.2992,293.6,13.2454,38.4684
-3.6287,36.2992,294.6,13.2454,38.4686
-3.6287,36.2992,295.6,13.2456,38.469
