PI,SIGMA,NAME
3.60862148674491,24.7905374973986,aaa
3.7277402424666,24.876562047036,aaa
3.74702195007496,24.9230095101325,aaa
3.68276227589291,25.0816493870441,aaa
3.60199875663288,25.0050930027051,aaa
3.85839603953836,24.8278841017009,aaa
3.7277402424666,24.876562047036,aaa
3.67600007092886,24.9209636464332,aaa
3.87907948147504,25.083600286049,aaa
3.85065246605643,25.0654848291069,aaa
3.86297842730774,25.0760152807275,aaa
3.83108660435845,25.0608454026767,aaa
3.79582013168232,25.0486199960717,aaa
3.80804531004463,25.0591486039039,aaa
3.79742324627331,25.0679748062264,aaa
3.73263330500667,25.0599109369357,aaa
3.73425912037898,25.079237409906,aaa
3.75506801428402,25.1032086527396,aaa
3.70617569556703,25.1026802573685,aaa
3.66799832120693,25.093357076131,aaa
3.6813651020596,24.9374055933074,aaa
3.68650806415648,24.9538413176367,aaa
3.7368033260393,25.015336828752,aaa
3.68971684107302,25.0757908017845,aaa
3.71939697550299,24.9883858682354,aaa
3.60902517962019,25.0407847023312,aaa
3.86225709924669,24.8668974855054,aaa
3.794409006555,24.9875334357948,aaa
3.62386782998303,24.8399725232146,aaa
3.51836885990321,24.8063319291825,aaa
3.6269884352732,25.0869529026415,aaa
4.04294385903181,24.6261656108175,aaa
4.02159017195026,24.8164737177417,aaa
3.86552961898725,24.8639178861986,aaa
3.92665239774496,24.9810447971643,aaa
3.83462013227504,25.0161894560033,aaa
3.6981834841819,25.0476747288903,aaa
3.73222004601001,24.5534655850806,aaa
3.71940066854613,25.0716507601442,aaa
3.54404066117961,24.805032182682,aaa
3.88722571496882,24.9718126677069,aaa
3.80613282816436,24.9980699685966,aaa
3.67523719903733,25.0875048121377,aaa
3.85345454431681,24.6397059633121,aaa
3.52311079141558,24.864529333905,aaa
3.66763983099824,24.9492072523456,aaa
3.66762544932535,24.9492072523456,aaa
3.66415342324653,24.9521556993921,aaa
3.66413186082525,24.9521556993921,aaa
3.67621003607318,24.9626870662073,aaa
3.66067557626057,24.9551033591219,aaa
3.66066120810497,24.9551033591219,aaa
3.66065402400279,24.9551033591219,aaa
3.65719838007963,24.9580502314191,aaa
3.65718330062727,24.9580502314191,aaa
3.65373547147345,24.9609963161681,aaa
3.6537211169261,24.9609963161681,aaa
3.6537211169261,24.9609963161681,aaa
3.65370676231365,24.9609963161681,aaa
3.65369958498301,24.9609963161681,aaa
3.65024522254769,24.9639416132529,aaa
3.65023087470597,24.9639416132529,aaa
3.65022370076068,24.9639416132529,aaa
3.63473633967039,24.9563575423472,aaa
3.63472918097706,24.9563575423472,aaa
3.63472918097706,24.9563575423472,aaa
3.65018711338637,24.9639416132529,aaa
3.65017276528083,24.9639416132529,aaa
3.65016559120363,24.9639416132529,aaa
3.65015124300038,24.9639416132529,aaa
3.65014406887432,24.9639416132529,aaa
3.65013689473198,24.9639416132529,aaa
3.66218762629896,24.9744703736285,aaa
3.67425833829218,24.9849986624192,aaa
3.70017830324695,25.0254020844254,aaa
3.70017108001803,25.0254020844254,aaa
3.70015663351055,25.0254020844254,aaa
3.70014218693691,25.0254020844254,aaa
3.70012774029711,25.0254020844254,aaa
3.70011329359114,25.0254020844254,aaa
3.69663487291526,25.0283409692718,aaa
3.69315780369383,25.0312790655048,aaa
3.67411622442451,25.0266305826515,aaa
3.66717976486745,25.0325025579366,aaa
3.66371247669077,25.0354373619562,aaa
3.66371247669077,25.0354373619562,aaa
3.65677978334468,25.0413046021674,aaa
3.64292909394516,25.0530296080183,aaa
3.63254872042996,25.0618150684847,aaa
3.6033136918613,25.0659300155992,aaa
3.60675847564981,25.0630056179084,aaa
3.59640462151665,25.071776438476,aaa
3.50914864073488,24.6671571844199,aaa
3.46256058930793,24.708809998305,aaa
3.48582698337293,24.6880027937757,aaa
3.9932477193293,24.3416748353004,aaa
3.59605684444574,24.6315212153586,aaa
3.91530482540676,24.9480728296733,aaa
3.85336246362324,24.9790424963887,aaa
3.87112691540503,25.0477953558702,aaa
4.1118655492908,24.8257455540802,aaa
3.88233343328774,24.997166842219,aaa
3.80993603940591,25.036838092185,aaa
3.77819907311767,25.0633296516853,aaa
3.68035279791398,25.1038701342941,aaa
3.91511918055661,24.9899398106486,aaa
4.01080221809901,24.7184400581305,aaa
4.01418331230459,24.7154239343972,aaa
3.98727062730321,24.7168975796803,aaa
3.88764868560611,24.8235138417328,aaa
3.73940927100857,24.9289281802346,aaa
3.59273381898988,25.0331976771176,aaa
3.76025850210777,25.1195869609937,aaa
4.03486434789535,24.8691723158001,aaa
4.03472753645143,24.8691723158001,aaa
4.02034487888313,24.8811397966633,aaa
3.99180560127496,24.905037268368,aaa
3.6994195155805,25.1085330696696,aaa
4.07032313304943,24.7321048184785,aaa
4.09095949840343,24.7789466924785,aaa
4.12727506376659,24.7910796448832,aaa
3.82680712312586,24.8547192041456,aaa
3.78149331914181,24.893369048036,aaa
3.74665984037677,24.9230095101325,aaa
3.74139571747022,24.9483385291292,aaa
3.83761171643168,24.9714604697172,aaa
3.8463354623354,24.9849614894681,aaa
3.85858839789883,24.9955022845861,aaa
3.82847556088813,24.9997452229798,aaa
3.75823597689416,25.0170313449553,aaa
3.75460082500367,25.019976806615,aaa
3.72483854855713,25.0241657156623,aaa
4.03486812714292,24.8691723158001,aaa
4.03472375705571,24.8691723158001,aaa
4.03101621509299,24.8721653569532,aaa
4.02375214870307,24.8781490974986,aaa
